1FA6P8JZ2L5550900;GT350®;Final Delivered;D4;85K;Detroit Lakes Ford;1389 Wenner Rd. Detroit Lakes, MN 56501;2019-11-08;2020-02-10;SLB.RWD.99Z.64S.91N.SSR.912.17F.L59.SED.574.WCC.59B.21S.51H.MDS.19B.50B.ANT.457.67L.67T.583.LMS.T3A.44E.SHB.COU.891.2020 P8J FORD.
1FA6P8JZ4L5550901;GT350®;Final Delivered;J7;85K;Ellsworth Ford, Inc.;424 West Industrial Road Ellsworth, WI 54011;2019-09-11;2020-02-17;SLB.94B.RWD.99Z.64S.91N.SSR.912.17F.L59.SED.574.WCC.51H.MDS.19B.50B.ANT.457.67L.67T.583.LMS.T3A.44E.SHB.COU.891.2020 P8J FORD.
1FA6P8JZ6L5550902;GT350®;Final Delivered;PQ;85K;Courtesy Ford of Norfolk;423 Madison Avenue Norfolk, NE 68701;2019-11-08;2020-02-17;SLB.RWD.99Z.64S.91N.SSR.912.17F.L59.SED.574.WCC.21S.51H.MDS.19B.50B.ANT.457.67L.67T.583.LMS.T3A.44E.SHB.COU.891.2020 P8J FORD.
1FA6P8JZ8L5550903;GT350®;Final Delivered;D4;85K;Northtown Ford, Inc.;415 Cedar Ave W Menomonie, WI 54751;2019-11-09;2020-02-19;SLB.RWD.99Z.64S.91N.SSR.912.17F.L59.SED.574.WCC.59B.21S.51H.MDS.19B.50B.ANT.457.67L.67T.583.LMS.T3A.44E.SHB.COU.891.2020 P8J FORD.
1FA6P8JZXL5550904;GT350®;Final Delivered;JS;SLB;Muscatell Burns Ford;Highway 10 Box 39 Hawley, MN 56549;2019-11-08;2020-02-18;SLB.94B.RWD.99Z.64S.91N.SSR.912.17F.L59.SED.574.WCC.59B.21S.51H.MDS.19B.50B.ANT.457.67T.583.LMS.T3A.44E.SHB.COU.891.2020 P8J FORD.
1FA6P8JZ3L5550906;GT350®;Final Delivered;FM;SLB;Worthington Ford;2950 Bellflower Blvd. Long Beach, CA 90815;2019-11-12;2020-02-03;SLB.RWD.99Z.64S.SSR.17F.L59.SED.574.WCC.51H.PDS.19B.ANT.457.583.LMS.T3A.44E.SHB.COU.891.2020 P8J FORD.
1FA6P8JZ5L5550907;GT350®;Final Delivered;YZ;85M;Robert Horne Ford, LLC;3400 S. Tomahawk Road Apache Junction, AZ 85119;2019-11-12;2020-02-03;SLB.RWD.99Z.64S.91N.SSR.912.17F.L59.SED.574.WCC.59B.51H.MDS.19B.50B.ANT.457.67T.583.LMS.T3A.44E.SHB.COU.891.2020 P8J FORD.
1FA6P8JZ5L5550910;GT350®;Final Delivered;G1;85L;Frontier Ford;3701 Stevens Creek Blvd. Santa Clara, CA 95051;2019-11-08;2020-02-07;SLB.RWD.99Z.64S.91N.SSR.912.17F.L59.SED.574.WCC.59B.51H.MDS.19B.50B.ANT.457.67L.67T.583.LMS.T3A.44E.SHB.COU.891.2020 P8J FORD.
1FA6P8JZ7L5550911;GT350®;Cancelled;G1;85L;Downtown Ford Sales;525 North 16th St Sacramento, CA 95811;2019-11-13;;SLB.RWD.99Z.64S.91N.SSR.912.17F.L59.SED.574.WCC.59B.21S.51H.MDS.19B.50B.ANT.457.67L.67T.583.LMS.T3A.44E.SHB.COU.891.2020 P8J FORD.
1FA6P8JZ0L5550913;GT350®;Final Delivered;YZ;85M;Cypress Coast Ford;#4 Geary Plaza Seaside, CA 93955;2019-11-08;2020-02-21;SLB.RWD.99Z.64S.91N.SSR.912.17F.L59.SED.574.WCC.59B.21S.51H.MDS.19B.50B.ANT.457.67L.67T.583.LMS.T3A.44E.SHB.COU.891.2020 P8J FORD.
